"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"X., Feng, Xudong; Z., Liu, Zhening; F., Wu, Feng; H., Wang, Handing","Feng, Xudong (57795263600); Liu, Zhening (57452122000); Wu, Feng (55937577100); Wang, Handing (55539503700)","57795263600; 57452122000; 55937577100; 55539503700","Evolutionary auto-design for aircraft engine cycle","2024","Complex and Intelligent Systems","10","2","","3169","3180","0","1","10.1007/s40747-023-01274-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177459084&doi=10.1007%2Fs40747-023-01274-2&partnerID=40&md5=4227439be0a774f1cb97876eb4596dee","Traditional engine cycle innovation is limited by human experiences, imagination, and currently available engine component performance expectations. Thus, the engine cycle innovation process is quite slow for the past 90 years. In this work, we propose a mixed variable multi-objective evolutionary optimization method for automatic engine cycle design. In the first, a simulation toolkit is developed for performance evaluation of potentially viable engine cycle solutions. Then, the engine cycle solutions are mixed encoded by the pins and the parameters of different engine components. The new engine cycle solutions are generated through the mutation operator. Finally, we construct two optimization objectives to drive the optimization process. Through the experimental research, new engine cycle solutions are discovered that exceed the performance of known turbojet and turbofan engines. © 2024 Elsevier B.V., All rights reserved.","Engineering Design; Mixed Variable Encoding; Multi-objective Evolutionary Algorithms","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177459084"
"F., Gholami, Fahimeh; A., Ghazitabar, Arash; M., Naderi, Malek; A., Hoviatdoost, Aylar; D., Ali Jani Ashna, Delasa; K., Ghazitabar, Kiarash; B.E., Brycki, B. Eugeniusz; V., Vretenár, Viliam","Gholami, Fahimeh (57999519900); Ghazitabar, Arash (56747932800); Naderi, Malek (23095124200); Hoviatdoost, Aylar (57999519800); Ali Jani Ashna, Delasa (58863970000); Ghazitabar, Kiarash (58863970100); Brycki, B. Eugeniusz (6602255496); Vretenár, Viliam (6506007968)","57999519900; 56747932800; 23095124200; 57999519800; 58863970000; 58863970100; 6602255496; 6506007968","Oil adsorption behavior of N-doped, co-decorated graphene/carbon nanotube/cellulose microfiber aerogels: A comprehensive investigation of composite component's effect","2024","Surfaces and Interfaces","46","","103936","","","0","9","10.1016/j.surfin.2024.103936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184038815&doi=10.1016%2Fj.surfin.2024.103936&partnerID=40&md5=e6def5112b02e40055db47870d739327","In this study, N-doped cobalt-decorated graphene/carbon nanotube/cellulose microfiber composite aerogels were synthesised and used as oil sorbent. In the current approach, graphene aerogel nanocomposites containing carbon nanotubes and cellulose microfibres were synthesised through a chemical reduction process using ascorbic acid and sodium bisulphite as reducing agents. Subsequently, N-doping was performed using ammonium treatment. The microstructure of these composites was characterised by field emission and conventional scanning electron microscopy, and transmission electron microscopy measurements. The molecular bonding and composition of the composites were analysed using energy-dispersive spectroscopy, Fourier Transform Infrared spectroscopy, Raman spectroscopy, and X-ray photoelectron spectroscopy. The hydrophobicity of the composites was characterised by a water contact angle test. Finally, the oil sorption performance of the samples was evaluated through a self-design procedure based on a combination of ASTM F716 and 726 standards and Bazargan et al. report. The N-doped Co decorated graphene/carbon nanotube/cellulose microfiber sample with a GO:CNT:CMF mass ratio of 4:2:1 (CGCMF-24) demonstrated the highest hydrophobicity and oil sorption capacity in comparison with other samples. CGCMF-24 adsorbed up to 30, 44, and 54 g/g toluene, cyclohexane, and hexane, respectively. Meanwhile, the most durable adsorbent was CGCMF-24, with 74 % durability after five sorption-desorption cycles, and it maintained this capacity for up to 10 cycles. © 2024 Elsevier B.V., All rights reserved.","Carbon Nanotube; Cellulose Microfiber; Graphene Aerogel; Nitrogen Doping; Oil Removal","Article","Final","","Scopus","2-s2.0-85184038815"
"F., Krause, Franziska; N., Franke, Nikolaus","Krause, Franziska (57779274000); Franke, Nikolaus (7003712009)","57779274000; 7003712009","Understanding Consumer Self-Design Abandonment: A Dynamic Perspective","2024","Journal of Marketing","88","2","","79","98","0","5","10.1177/00222429231183977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172092587&doi=10.1177%2F00222429231183977&partnerID=40&md5=4a061318da170663addecc6fcbf1f42b","Many studies have found that allowing customers to self-design products using customization configurators generates high value for customers. However, in practice, high abandonment rates cast doubt on these findings. In the present article, this contradiction is resolved by analyzing consumers’ experiences during the creative process. Six studies provide converging evidence that consumers abandon customization because their valence during the process is U-shaped: initial high expectations prompt consumers to start self-designing in the first place, but they quickly find, to their frustration, that their (interim) design solutions are less attractive and the self-designing process is less enjoyable than they originally anticipated. Unaware that their enjoyment of the process would ultimately increase if they persisted through this phase, they abandon the self-design process altogether. It is only if the consumer overcomes the minimum of the U of valence that they harness the potential value from self-designing. This problematic pattern can be managed by providing social feedback during the self-design process. These findings contribute not only to the customization literature but also more generally to the understanding of consumers’ goal pursuit by enhancing its scope to creative tasks. © 2024 Elsevier B.V., All rights reserved.","Abandonment; Goal Pursuit; Longitudinal Process; Mass Customization; Online Configurators; Overoptimism; Product Design; U-shape Of Valence","Article","Final","","Scopus","2-s2.0-85172092587"
"A., Delannoy, Arnaud; P., Baudier, Patricia; T., de Vassoigne, Tony","Delannoy, Arnaud (58496580200); Baudier, Patricia (57191991393); de Vassoigne, Tony (58149891500)","58496580200; 57191991393; 58149891500","Perceptions of ethical cosmetics: Health behaviors during the COVID-19 pandemic","2024","Journal of Consumer Behaviour","23","2","","470","490","0","2","10.1002/cb.2215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165295321&doi=10.1002%2Fcb.2215&partnerID=40&md5=65ee1bba420b4503b2426e2b60dfd2d5","Ethical consumption is considered one of the key issues of the early twenty-first century, and the demand for natural and chemical-free products has continued to grow. This study aims to explore consumers' perceptions of ethical cosmetics during the COVID-19 pandemic; measuring the self-dimensions that influence their opinions on the potential benefits of healthy cosmetics and measuring these impacts on purchase intention and purchase recommendation. A survey of 483 qualified respondents was conducted through a market research company. The research model, which mobilized constructs drawn from the literature, was analyzed using a partial least square approach via SmartPLS3.3.9 software. Our results demonstrate the direct impact of brand social responsibility (BSR), personal-positive (PP), and social-positive (SP) on word-of-mouth (WOM). The influence of self-association on PP is validated but rejected for SP. We show that extended-self has a direct effect on PP but not on SP, while self-design has an impact on both variables. Finally, the variables SP, PP, and BSR have a direct impact on the intention to buy healthy cosmetics but not on the WOM construct. As such, this study contributes to the literature on the perception of ethical/healthy cosmetics and consumer behavior and perceptions. © 2024 Elsevier B.V., All rights reserved.","","Article","Final","","Scopus","2-s2.0-85165295321"
"Z., Lian, Zichao; F., Gao, Fangfang; H., Xiao, Han; D., Luo, Di; M., Li, Mengyuan; D., Fang, Duoduo; Y., Yang, Yupeng; J., Zi, Jiangzhi; H., Li, Hexing","Lian, Zichao (55831956900); Gao, Fangfang (57571486600); Xiao, Han (58476820300); Luo, Di (58813584100); Li, Mengyuan (57209947639); Fang, Duoduo (58546549700); Yang, Yupeng (58813584200); Zi, Jiangzhi (57348811700); Li, Hexing (8866049900)","55831956900; 57571486600; 58476820300; 58813584100; 57209947639; 58546549700; 58813584200; 57348811700; 8866049900","Photo-self-Fenton Reaction Mediated by Atomically Dispersed Ag−Co Photocatalysts toward Efficient Degradation of Organic Pollutants","2024","Angewandte Chemie - International Edition","63","8","e202318927","","","0","92","10.1002/anie.202318927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182437905&doi=10.1002%2Fanie.202318927&partnerID=40&md5=0f6583cf5d60d52256b93291bbc037da","Achieving the complete mineralization of persistent pollutants in wastewater is still a big challenge. Here, we propose an efficient photo-self-Fenton reaction for the degradation of different pollutants using the high-density (Ag: 22 wt %) of atomically dispersed AgCo dual sites embedded in graphic carbon nitride (AgCo−CN). Comprehensive experimental measurements and density functional theory (DFT) calculations demonstrate that the Ag and Co dual sites in AgCo−CN play a critical role in accelerating the photoinduced charge separation and forming the self-Fenton redox centers, respectively. The bimetallic AgCo−CN exhibited excellent photocatalytic performance toward the phenol even under extreme conditions due to an efficient degradation pathway and in situ generation of the hydrogen peroxide producing the main active oxygen species (⋅OH and 1O<inf>2</inf>) and showed long-term activity in a self-design photo-Filter reactor for the purification of the phenol. Our discoveries pave the way for the design of efficient single-atoms photocatalysts-based photo-self-Fenton reaction for recalcitrant pollutant treatment. © 2024 Elsevier B.V., All rights reserved.","Photo-self-fenton-like Catalysis; Photoinduced Charge Transfer; Reactive Oxygen Species; Single-atoms Catalysis; Carbon; Hydrogen Peroxide; Phenol; Biodegradation; Carbon Nitride; Catalysis; Density Functional Theory; Design For Testability; Organic Pollutants; Oxidation; Oxygen; Phenols; Dual Sites; Fenton Likes; Fenton Reactions; Mineralisation; Photo-induced Charge; Photo-self-fenton-like Catalyse; Photoinduced Charge Transfer; Reactive Oxygen Species; Single-atom Catalyse; Single-atoms; Charge Transfer; Carbon; Hydrogen Peroxide; Phenol; Reactive Oxygen Metabolite; Article; Atom; Catalysis; Controlled Study; Degradation; Density Functional Theory; Fenton Reaction; Filter Reactor; Mineralization; Pollutant; Purification; Signal Transduction","Article","Final","","Scopus","2-s2.0-85182437905"
"D., Wang, Dan; R., Li, Ruiwei; X., Zhang, Xin; F., Feng, Fan; H., Feng, Hui; L., Lu, Lin; B., Feng, Biao; S., Liu, Shaoding; Z., Nie, Zhongquan","Wang, Dan (57207689776); Li, Ruiwei (58891385900); Zhang, Xin (58891614200); Feng, Fan (58891158800); Feng, Hui (58890704100); Lu, Lin (58891614300); Feng, Biao (56711586800); Liu, Shaoding (8323626300); Nie, Zhongquan (46261425300)","57207689776; 58891385900; 58891614200; 58891158800; 58890704100; 58891614300; 56711586800; 8323626300; 46261425300","Controlling nonlinear collapse of ellipticity and orientation of a co-variant vector optical field","2024","Optics Express","32","4","","5230","5241","0","3","10.1364/OE.511324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185320859&doi=10.1364%2FOE.511324&partnerID=40&md5=6d6afef9e5f535996af78bbf276c6246","A vector optical field with inhomogeneous spatial polarization distribution offers what we believe to be a new paradigm to form controllable filaments. However, it is challenging to steer multiple performances (e.g. number, orientation, and interval) of filaments in transparent nonlinear media at one time. Herein, we theoretically self-design and generate a kind of believed to be novel ellipticity and orientation co-variant vector optical field to interact with Kerr medium to solve this issue. The collapsing behaviors of such a new hybrid vector optical field reveal that, by judiciously adjusting the inherent topological charge and initial phase of incident optical field, we are able to give access to stable collapsing filamentation with tunable numbers, orientations and interval. Additionally, the collapsing patterns presented are immune nearly to the extra random noise. The relevant mechanism behind the collapse of the vector optical field is elucidated as well. The findings in this work may have huge potential in optical signal processing, laser machining, and other related applications. © 2024 Elsevier B.V., All rights reserved.","Nonlinear Optics; Signal Processing; Hybrid Vectors; Kerr-media; Nonlinear Medium; Nonlinear-medium; One-time; Optical Field; Performance; Polarization Distributions; Self-design; Spatial Polarization; Vectors; Article; Bullock; Collapse; Electric Potential; Laser; Noise; Optics; Polarization; Signal Processing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185320859"
"J., Zhang, Jinxia; X., Chen, Xinyi; H., Wei, Haikun; K., Zhang, Kanjian","Zhang, Jinxia (56603508700); Chen, Xinyi (57213596551); Wei, Haikun (7402516860); Zhang, Kanjian (7404451787)","56603508700; 57213596551; 7402516860; 7404451787","A lightweight network for photovoltaic cell defect detection in electroluminescence images based on neural architecture search and knowledge distillation","2024","Applied Energy","355","","122184","","","0","60","10.1016/j.apenergy.2023.122184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178206702&doi=10.1016%2Fj.apenergy.2023.122184&partnerID=40&md5=87cab3b864264c935522fcaf89742245","Nowadays, the rapid development of photovoltaic(PV) power stations requires increasingly reliable maintenance and fault diagnosis of PV modules in the field. Due to the effectiveness, convolutional neural network (CNN) has been widely used in the existing automatic defect detection of PV cells. However, the parameters of these CNN-based models are very large, which require stringent hardware resources and it is difficult to be applied in actual industrial projects. To solve these problems, we propose a novel lightweight high-performance model for automatic defect detection of PV cells in electroluminescence(EL) images based on neural architecture search and knowledge distillation. To auto-design an effective lightweight model, we introduce neural architecture search to the field of PV cell defect classification for the first time. Since the defect can be any size, we design a proper search structure of network to better exploit the multi-scale characteristic. To improve the overall performance of the searched lightweight model, we further transfer the knowledge learned by the existing pre-trained large-scale model based on knowledge distillation. Different kinds of knowledge are exploited and transferred, including attention information, feature information, logit information and task-oriented information. Experiments have demonstrated that the proposed model achieves the state-of-the-art performance on the public PV cell dataset of EL images under online data augmentation with accuracy of 91.74% and the parameters of 1.85M. The proposed lightweight high-performance model can be easily deployed to the end devices of the actual industrial projects and retain the accuracy. © 2023 Elsevier B.V., All rights reserved.","Deep Learning; Defect Detection; Electroluminescence; Knowledge Distillation; Neural Architecture Search; Photovoltaic Cells; Cells; Convolutional Neural Networks; Cytology; Deep Learning; Defects; Distillation; Network Architecture; Photoelectrochemical Cells; Solar Panels; Automatic Defect Detections; Convolutional Neural Network; Defect Detection; Electroluminescence Images; Image-based; Industrial Programs; Knowledge Distillation; Neural Architecture Search; Neural Architectures; Electroluminescence; Data Set; Defect; Distillation; Fuel Cell; Image Processing; Photovoltaic System; Power Generation","Article","Final","","Scopus","2-s2.0-85178206702"
"X., Feng, Xiao; Y., Yu, Yongbin; X., Wang, Xiangxiang; J., Cai, Jingye; S., Zhong, Shouming; H., Wang, Hao; X., Han, Xinyi; J., Wang, Jingya; K., Shi, Kaibo","Feng, Xiao (57694634100); Yu, Yongbin (16320294000); Wang, Xiangxiang (57203194052); Cai, Jingye (10738940600); Zhong, Shouming (55669890300); Wang, Hao (57482563400); Han, Xinyi (58307345700); Wang, Jingya (58610483300); Shi, Kaibo (55897985600)","57694634100; 16320294000; 57203194052; 10738940600; 55669890300; 57482563400; 58307345700; 58610483300; 55897985600","A hybrid search mode-based differential evolution algorithm for auto design of the interval type-2 fuzzy logic system","2024","Expert Systems with Applications","236","","121271","","","0","15","10.1016/j.eswa.2023.121271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171523613&doi=10.1016%2Fj.eswa.2023.121271&partnerID=40&md5=3131910fb4cf1ab466cd99a544d169ae","This article proposed a hybrid search mode-based differential evolution (HSM-DE) algorithm to overcome the complex design of an interval type-2 fuzzy logic system (IT2FLS). First, transform complex design processes of the IT2FLS into optimization problems for our proposed evolutionary algorithm by decoding the whole system into design parameters regarded as search objectives. Then, the DE algorithm with a rapid convergence characteristic is adopted as a global search method for exploration according to a memetic algorithm (MA) structure. Considering the conventional DE algorithm is lack of escaping ability for the local optimal solution, a local search method combined with a simulated binary crossover (SBX) and polynomial mutation (PM) is utilized to enhance the exploitation behavior of our proposed method. In addition, simple constraints on the design parameters of the membership function are added to balance the searching freedom of the HSM-DE algorithm and the readability of the optimal IT2FLS. Finally, a simulation of a mobile two-wheel vehicle (MTWV) under a goal search task is performed to verify the effectiveness of the optimal IT2FLS auto designed by HSM-DE. All results demonstrate that the HSM-DE realizes auto design for the IT2FLS with high-performance control and outperforms the comparative methods. Moreover, four comparison methods are performed to validate the high-performance of the proposed HSM-DE on the search ability of the optimal solution. © 2023 Elsevier B.V., All rights reserved.","Differential Evolution (de) Algorithm; Fuzzy Controller Auto Design; Interval Type-2 Logic System (it2fls); Memetic Algorithm (ma) Structure; Computer Circuits; Design; Evolutionary Algorithms; Fuzzy Logic; Optimal Systems; Optimization; Parameter Estimation; Polynomials; Differential Evolution Algorithms; Fuzzy Controller Auto Design; Fuzzy Controllers; Hybrid Search; Interval Type-2 Fuzzy Logic Systems; Interval Type-2 Logic System (interval Type-2 Fuzzy Logic System); Logic Systems; Memetic Algorithm Structure; Memetic Algorithms; Mode-based; Membership Functions","Article","Final","","Scopus","2-s2.0-85171523613"
"S., Oswald, Sascha","Oswald, Sascha (58997475200)","58997475200","Friendzone level 5000: Memes as image-mediated practices of subjectivation","2024","","","","","253","286","0","1","10.1007/978-3-658-42872-3_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003320107&doi=10.1007%2F978-3-658-42872-3_13&partnerID=40&md5=87ad4bfa641a9fce69d6d5d3aa27120d","Memes are Internet phenomena, or more precisely: user-generated content of various kinds (images, videos, texts), which are characterized in particular by the way they are disseminated and processed. They are predominantly image-based forms of mass communication. This is accompanied by the dissemination of values, norms, views and ideals as well as identity concepts and self-designs. The article deals with memes as visual practices of subjectification and discourses. As an example, the friendzone discourse within the online commu-nity 9gag, which is predominantly transported via images, is reconstructed and it is shown how a certain form of the male subject is constituted in this discourse and at the same time statements about gender relations are produced and established. The communicative and medial properties of the memes as well as their appearance and circulation in a very specifically structured digital space provide for altered perceptual schemata and new techniques of self-thematization. © 2025 Elsevier B.V., All rights reserved.","","Book chapter","Final","","Scopus","2-s2.0-105003320107"
"W., Hong, Wonkee","Hong, Wonkee (35279757900)","35279757900","AI-Based Optimized Design of Structural Frames: With Application to Practical Building Designs","2024","","","","","1","582","0","0","10.1201/9781003424826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209019613&doi=10.1201%2F9781003424826&partnerID=40&md5=b115301d382d7a401e67500d750b1041","This book introduces an auto-design-based optimization for building frames using an artificial neural network (ANN)-based Lagrange method and novel genetic algorithm (GA). The work of great mathematician Joseph-Louis Lagrange and ANNs are merged to identify parameters that optimize structural frames of reinforced concrete, prestressed concrete, and steel frames subject to one or more design constraints. New features for enhancing conventional GA are also demonstrated to optimize structural frames. New features for optimizing multiple design targets of the building frames are highlighted, while design requirements imposed by codes are automatically satisfied. Chapters provide readers with an understanding of how both ANN-based and novel GA-based structural optimization can be implemented in holistically optimizing designated design targets for building structural frames, guiding readers toward more rational designs that is consistent with American Institute of Steel Construction (AISC) and American Concrete Institute (ACI) standards. ANN-based holistic designs of multi-story frames in general and reinforced concrete, prestressed concrete, and steel frames in particular, are introduced. This book suits structural engineers, architects, and graduate students in the field of building frame designs and is heavily illustrated with color figures and tables. © 2025 Elsevier B.V., All rights reserved.","Concrete Beams And Girders; Genetic Algorithms; Lagrange Multipliers; Neural Networks; Reinforced Concrete; Shape Optimization; Structural Design; Structural Engineering; Structural Frames; Structural Optimization; Students; Building Design; Building Frames; Concrete Frame; Network-based; Neural-networks; Novel Genetic Algorithm; Optimisations; Optimized Designs; Pre-stressed Steel; Steel Frame; Architectural Design","Book","Final","","Scopus","2-s2.0-85209019613"
"G., Luo, Ganyuan; H., Li, Hao; Z., Chen, Zefeng; Y., Zhou, Yuren","Luo, Ganyuan (59337385900); Li, Hao (59337543100); Chen, Zefeng (57193199661); Zhou, Yuren (7405367554)","59337385900; 59337543100; 57193199661; 7405367554","Pareto-Informed Multi-objective Neural Architecture Search","2024","Lecture Notes in Computer Science","15150 LNCS","","","369","385","0","0","10.1007/978-3-031-70071-2_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204602470&doi=10.1007%2F978-3-031-70071-2_23&partnerID=40&md5=e314a42fcd1c91737c1cca1c1e9d54a8","Aiming at the auto-design of powerful neural architectures with a requirement of compromising multiple objectives, this paper introduces a novel approach called Pareto-informed Multi-objective Neural Architecture Search (PiMO-NAS), which employs a solution generator influenced by Tchebycheff decomposition to explore the objective space of multi-objective NAS. Our methodology initiates with a transformation of discrete search space into continuous form, followed by iterative solution optimization, in which Gaussian Process (GP) surrogate models are utilized to establish a mapping from decision space to objective space. Subsequently, a solution generator, directed by preference vectors from the objective space, is designed to generate decision vectors to map the weights from the objective space back to the decision space. This solution generator is further optimized based on the gradients derived from the GP models. To ensure diversity in the solution pool, the solution generator synthesizes new candidate solutions guided by preference vectors generated by a well-designed adaptive sampler. In order to verify the performance of the proposed PiMO-NAS, a series of experiments were conducted within two typical NAS search spaces (i.e., the Once-For-All(OFA) and AutoFormer based ones, covering both convolutional neural networks and vision transformers), and more than 30 state-of-the-art NAS methods and models were employed for performance comparisons. Experimental results showcase that our approach can outperform most peers in terms of search time and solution quality, and has fantastic ability to efficiently discover high-performing neural architectures. In the OFA-based search spaces, compared with the MSuNAS, the proposed PiMO-NAS was able to achieve similar performance in two-thirds of the number of iterations, thereby saving about 24% of the search time. In the AutoFormer-based search space, we successfully approached a strong baseline formed by a single-objective evolutionary algorithm with restricted parameter quantities, approximating the entire Pareto front in a comparable timeframe. © 2024 Elsevier B.V., All rights reserved.","Multi-objective Optimization; Neural Architecture Search (nas); Pareto Front; Surrogate; Architecture; Multiobjective Optimization; Vector Spaces; Vectors; Decision Space; Multi Objective; Multi-objectives Optimization; Neural Architecture Search; Neural Architectures; Objective Space; Pareto Front; Performance; Search Spaces; Surrogate; Convolutional Neural Networks","Conference paper","Final","","Scopus","2-s2.0-85204602470"
"A., Curry, Amanda","Curry, Amanda (57203861812)","57203861812","Accounting talks – how operations managers nuance their frontstage performance with backstage negotiations","2024","Accounting, Auditing and Accountability Journal","37","9","","248","274","0","0","10.1108/AAAJ-06-2023-6504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199133542&doi=10.1108%2FAAAJ-06-2023-6504&partnerID=40&md5=29d678d7d66a2560be5ff8e55f128d41","Purpose: This paper analyzes the ways in which accounting enables operations managers to enter and perform multiple roles in their interplay with organizational groups on the shop floor and in management, and the associated negotiations that operations managers have with “the self.” Design/methodology/approach: Using field-based studies in a mining organization, the study draws on Goffman’s backstage–frontstage metaphor to analyze how operations managers enter and perform several roles with the aid of accounting. Findings: The findings show that accounting legitimizes operations managers when they cross organizational boundaries, as accounting gives them an “entry ticket” that legitimizes their presence with the group. Accounting further allows operations managers to embrace more than one role by “putting on a mask” to become an outsider or insider in relation to a group. In performing their roles, operations managers exhibit varying attributes and knowledge. Accounting can thereby be withheld from, or shared with, organizational groups. The illusion of accounting as deterministic presented frontstage is not necessarily negotiated that way backstage. Rather, alternatives discussed backstage often become silenced in the frontstage performance. The study concludes that operations managers cross boundaries, embrace roles and exert agency as they navigate with accounting, enrolling it into their performance simultaneously as they backstage reflect upon accounting and its role for their everyday work. Originality/value: This study relies on the frontstage/backstage metaphor to visualize the discrepancies in how accounting is enrolled into role performances and how seemingly categorical fronts do not necessarily share that dominant position backstage. © 2024 Elsevier B.V., All rights reserved.","Accounting Talk; Management Accounting; Operations Managers; Roles","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85199133542"
"B., Liu, Bo; P., Wang, Pengfei; X., Liu, Xiang; L., Zhang, Liwen","Liu, Bo (55574234772); Wang, Pengfei (57387036200); Liu, Xiang (59212639900); Zhang, Liwen (55709189600)","55574234772; 57387036200; 59212639900; 55709189600","Response surface methodology based synchronous multi-performance optimization of CMOS low-dropout regulator","2024","Microelectronics Journal","143","","106045","","","0","3","10.1016/j.mejo.2023.106045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198056426&doi=10.1016%2Fj.mejo.2023.106045&partnerID=40&md5=0e64e8723c65104b44c4205013107118","An easy-to-use efficient auto-design approach to achieve a synchronous optimization and solution for multiple performance objectives of a CMOS low-dropout regulator (LDO) circuit is proposed. As a core algorithm, response surface methodology (RSM) is adopted to automatically implement the design parameter modeling and solving of the LDO. The precision response surface models for the temperature coefficient (TC) and power supply rejection ratio (PSRR) are established efficiently based on only 27 sets of Cadence sampling datasets, by which the optimal performance solution with a superior tradeoff on TC and PSRR can be obtained. Along with a complete auto-design flow, the pre/post-layout simulations of the LDO circuit by SMIC 180 nm/3.3 V CMOS technology are performed, it can be observed that the auto-improved LDO has a significant better 35.20 ppm/°C TC feature compared with 48.46 ppm/°C that recorded by the manual design. Synchronously, the PSRR is improved from −59.497 Hz@DC to −92.89 Hz@DC with a great increase ratio by 56 % up. © 2024 Elsevier B.V., All rights reserved.","Low-dropout Regulator (ldo); Response Surface Methodology (rsm); Synchronous Multiobjective Optimization; Cmos Integrated Circuits; Electric Current Regulators; Integrated Circuit Design; Surface Properties; Voltage Regulators; Design Approaches; Low Dropout Regulator; Low-dropout Regulator; Multi-objectives Optimization; Performance Optimizations; Power Supply Rejection Ratio; Response Surface Methodology; Response-surface Methodology; Synchronoi Multiobjective Optimization; Temperature Coefficient; Multiobjective Optimization","Article","Final","","Scopus","2-s2.0-85198056426"
"J., Wang, Jingjing; F., Zhang, Feng; Z., Xue, Zhengyue; X., Gao, Xiaoming; M., Liang, Miao; Z., Cai, Zhaonan; M., Zhou, Minqiang; T., Tan, Tu","Wang, Jingjing (57211090146); Zhang, Feng (57214311434); Xue, Zhengyue (57221856237); Gao, Xiaoming (8948227300); Liang, Miao (57205507226); Cai, Zhaonan (24398506000); Zhou, Minqiang (56377773800); Tan, Tu (26432295900)","57211090146; 57214311434; 57221856237; 8948227300; 57205507226; 24398506000; 56377773800; 26432295900","Ultrahigh Resolution Portable Dual-Channel Laser Heterodyne Radiometer","2024","IEEE Transactions on Instrumentation and Measurement","73","","7007609","","","0","1","10.1109/TIM.2024.3420357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197482138&doi=10.1109%2FTIM.2024.3420357&partnerID=40&md5=8626bbc97ae7dd7cdc003f6ae05b0195","An integrated portable, dual-channel all-fibered laser heterodyne radiometer (portable dc-LHR) with a high spectral resolution (0.0044 cm-1) for simultaneous remote sensing of atmospheric dry-air column-averaged mole fraction of CO<inf>2</inf> and CH<inf>4</inf> (X<inf>CO2</inf> and X<inf>CH4</inf>) has been developed. Sunlight is modulated by a dual-channel fiber optical switch and mixed with two laser beams, which were step-scanned across two strong absorption features centered at 1603.59-1657.39 nm, respectively. Digital lock-in amplifiers (DLIAs) are designed to demodulate the laser heterodyne signal, while self-design interferometric devices are used to monitor laser wavelength. A forward model based on relative transmittance in a narrow band and an optimal estimation inversion algorithm are used for data inversion. The portable instrument was carried out in a field campaign in Dachaidan (Qinghai Province, China, 37.744°N, 95.342°E), together with co-located Aircore and EM27/SUN measurements, in August 2020. The retrieval uncertainties of portable dc-LHR X<inf>CO2</inf> and XCH4 are 0.9 ppm and 3.4 ppb, respectively. Comparison in X<inf>CO2</inf> and XCH4 observations between portable dc-LHR and EM27/SUN show a good agreement. © 2024 Elsevier B.V., All rights reserved.","Atmospheric Co2 And Ch4; High Resolution; Laser Heterodyne Radiometer (lhr); Optimal Estimation Method; Remote Sensing; Carbon Dioxide; Distributed Feedback Lasers; Feedback Amplifiers; Fiber Lasers; Laser Beams; Optical Fibers; Optical Remote Sensing; Spectral Resolution; Atmospheric Co2 And Ch4; Atmospheric Measurement; Heterodyne Radiometer; High Resolution; Laser Feedback; Laser Heterodyne; Laser Heterodyne Radiometer; Optical Fiber Devices; Optical Fibers Amplifiers; Optimal Estimation Methods; Remote-sensing; Fiber Amplifiers","Article","Final","","Scopus","2-s2.0-85197482138"
